,precision,recall,f1-score,support
Adduction_Grip,0.7592592592592593,0.7951515151515152,0.7767910005920663,825.0
Fixed_hook,0.8929618768328446,0.7337349397590361,0.8055555555555556,830.0
Large_diameter,0.6813084112149532,0.7830290010741139,0.7286356821589205,931.0
Parallel_extension,0.6890909090909091,0.79957805907173,0.740234375,948.0
Precision_sphere,0.7413294797687862,0.5958188153310104,0.660656793303284,861.0
Sphere_4_finger,0.5887096774193549,0.5367647058823529,0.5615384615384615,816.0
Ventral,0.9152148664343787,0.8174273858921162,0.8635616438356164,964.0
Writing_Tripod,0.6950757575757576,0.8210290827740492,0.7528205128205128,894.0
accuracy,0.7391427358890932,0.7391427358890932,0.7391427358890932,0.7391427358890932
macro avg,0.7453687796995303,0.7353166881169905,0.7362242531005522,7069.0
weighted avg,0.7465610689899619,0.7391427358890932,0.7387327119759662,7069.0
