,precision,recall,f1-score,support
Adduction_Grip,0.7359635811836115,0.5294759825327511,0.6158730158730159,916.0
Fixed_hook,0.8853211009174312,0.4351747463359639,0.5835222978080121,887.0
Large_diameter,0.6211631663974152,0.7752016129032258,0.6896860986547085,992.0
Parallel_extension,0.7118997912317327,0.6833667334669339,0.6973415132924335,998.0
Precision_sphere,0.3827993254637437,0.5732323232323232,0.4590495449949444,792.0
Sphere_4_finger,0.38626609442060084,0.5172413793103449,0.44226044226044225,870.0
Ventral,0.7772337821297429,0.6225490196078431,0.6913445835601524,1020.0
Writing_Tripod,0.6985854189336235,0.7109634551495017,0.7047200878155873,903.0
accuracy,0.6103280021686094,0.6103280021686094,0.6103280021686094,0.6103280021686094
macro avg,0.6499040325847377,0.605900656567361,0.610474698032412,7378.0
weighted avg,0.6572136037647144,0.6103280021686094,0.616929647568192,7378.0
