,precision,recall,f1-score,support
Adduction_Grip,0.7300613496932515,0.519650655021834,0.6071428571428571,916.0
Fixed_hook,0.7620528771384136,0.552423900789177,0.6405228758169934,887.0
Large_diameter,0.7375565610859729,0.657258064516129,0.6950959488272921,992.0
Parallel_extension,0.7135826771653543,0.7264529058116233,0.7199602780536246,998.0
Precision_sphere,0.4673311184939092,0.5328282828282829,0.49793510324483775,792.0
Sphere_4_finger,0.4091260634184068,0.6080459770114942,0.4891354600092464,870.0
Ventral,0.7817969661610268,0.6568627450980392,0.7139051678209909,1020.0
Writing_Tripod,0.6053097345132743,0.7574750830564784,0.6728971962616822,903.0
accuracy,0.6299810246679317,0.6299810246679317,0.6299810246679317,0.6299810246679317
macro avg,0.6508521684587011,0.6263747017666322,0.6295743608971905,7378.0
weighted avg,0.6585229378585015,0.6299810246679317,0.6354112331399278,7378.0
