,precision,recall,f1-score,support
Adduction_Grip,0.7716049382716049,0.6613756613756614,0.7122507122507122,189.0
Fixed_hook,0.8580246913580247,0.7988505747126436,0.8273809523809523,174.0
Large_diameter,0.6782945736434108,0.9020618556701031,0.7743362831858407,194.0
Parallel_extension,0.797979797979798,0.8102564102564103,0.8040712468193384,195.0
Precision_sphere,0.7052631578947368,0.8121212121212121,0.7549295774647887,165.0
Sphere_4_finger,0.717948717948718,0.6627218934911243,0.6892307692307692,169.0
Ventral,0.8595505617977528,0.7688442211055276,0.8116710875331565,199.0
Writing_Tripod,0.8658536585365854,0.7759562841530054,0.8184438040345822,183.0
accuracy,0.7752043596730245,0.7752043596730245,0.7752043596730245,0.7752043596730245
macro avg,0.781815012178829,0.774023514110711,0.7740393041125175,1468.0
weighted avg,0.7830574749444311,0.7752043596730245,0.7751607256380185,1468.0
