Time in ms,flex1,flex2,flex3,flex4,flex5,flex6,Labels
2139,171,185,67,127,50,120,0.0
2167,171,186,67,127,50,120,0.0
2197,171,186,67,128,50,119,0.0
2226,171,185,68,128,49,119,0.0
2254,170,186,66,129,49,120,0.0
2284,171,186,67,128,49,121,0.0
2313,171,186,68,128,50,120,0.0
2342,171,186,69,128,50,122,0.0
2371,171,185,69,127,51,121,0.0
2401,171,186,69,128,51,119,0.0
2429,170,187,67,129,50,120,0.0
2459,172,187,68,128,51,122,0.0
2488,171,187,66,130,51,121,0.0
2516,171,188,67,130,51,122,0.0
2546,171,187,67,130,51,122,0.0
2575,170,187,68,128,51,122,0.0
2917,158,192,70,112,62,117,0.0
2947,158,193,69,112,62,117,0.0
2975,159,193,71,112,61,118,0.0
3005,159,192,70,113,61,118,0.0
3034,159,191,70,113,62,118,0.0
3063,159,191,72,111,63,118,0.0
2330,157,183,70,130,71,136,0.0
2359,157,183,70,129,74,135,0.0
2387,158,184,70,129,73,137,0.0
2417,157,184,70,131,72,136,0.0
2446,157,183,70,130,72,136,0.0
2476,158,184,70,131,72,137,0.0
2504,158,184,70,129,72,138,0.0
2534,158,183,72,131,72,137,0.0
2563,158,184,71,129,73,137,0.0
2592,157,184,69,132,72,136,0.0
2621,157,184,71,129,73,136,0.0
2650,157,184,71,130,73,135,0.0
2679,158,184,71,132,71,135,0.0
2120,157,177,70,123,68,136,0.0
2150,158,176,70,122,68,136,0.0
2179,157,177,70,122,67,136,0.0
2208,158,177,70,123,68,136,0.0
2237,158,177,71,123,68,135,0.0
2267,158,177,71,123,67,136,0.0
2295,158,177,71,123,69,134,0.0
2324,158,177,70,123,69,133,0.0
2361,169,177,67,130,70,136,0.0
2390,169,178,67,131,70,136,0.0
2419,168,178,66,131,71,136,0.0
2448,170,178,66,131,69,137,0.0
2478,170,178,66,131,69,138,0.0
2506,171,178,65,132,70,137,0.0
2394,163,184,70,119,66,126,0.0
2422,164,184,70,119,66,126,0.0
2451,163,184,69,120,68,125,0.0
2481,163,184,69,120,67,124,0.0
2509,164,185,70,120,67,124,0.0
2539,164,185,70,119,67,124,0.0
2568,163,186,69,120,67,124,0.0
2961,161,177,70,129,68,151,0.0
2990,162,176,71,128,68,150,0.0
3019,162,177,70,129,68,151,0.0
3048,161,177,69,128,68,150,0.0
3078,162,177,71,129,69,149,0.0
3106,162,177,71,129,68,150,0.0
3136,161,177,71,129,69,151,0.0
3165,162,178,70,130,67,151,0.0
3194,161,178,71,130,68,151,0.0
3223,162,178,71,129,68,152,0.0
3252,162,178,71,129,68,152,0.0
3281,162,178,71,130,67,151,0.0
3310,161,179,71,129,69,150,0.0
3340,161,179,72,129,69,150,0.0
3368,161,180,71,129,68,150,0.0
3398,161,179,71,130,68,151,0.0
3427,161,179,71,131,69,151,0.0
3456,162,179,71,130,67,151,0.0
2460,156,129,65,123,67,133,0.0
2489,156,197,66,123,68,134,0.0
2518,156,134,66,123,67,134,0.0
2547,156,190,66,125,67,134,0.0
2576,156,150,66,125,67,134,0.0
2606,157,172,66,125,65,135,0.0
2634,156,171,66,125,66,134,0.0
2664,157,156,67,125,68,135,0.0
2693,157,191,66,125,68,134,0.0
2721,156,137,67,124,69,134,0.0
2751,156,198,67,124,69,134,0.0
2780,157,123,66,126,69,134,0.0
2809,156,183,66,126,68,134,0.0
2499,153,190,74,113,69,128,0.0
2529,154,190,74,113,70,129,0.0
2557,154,190,73,113,69,129,0.0
2586,153,190,74,113,68,129,0.0
2616,153,190,76,113,69,130,0.0
2644,153,189,75,113,69,129,0.0
2674,154,190,75,113,69,129,0.0
2703,154,190,75,113,69,130,0.0
2733,153,189,76,113,70,128,0.0
2761,153,190,75,113,69,128,0.0
2790,153,190,74,114,70,128,0.0
2100,170,187,65,110,67,130,0.0
2129,170,186,66,109,67,131,0.0
2158,170,186,66,110,66,131,0.0
2187,170,187,67,109,67,130,0.0
2216,170,187,67,110,66,130,0.0
2245,169,187,67,109,69,128,0.0
2275,169,188,66,110,67,129,0.0
2304,169,188,65,111,67,129,0.0
2333,170,187,66,111,67,131,0.0
2362,171,188,67,110,69,130,0.0
2391,170,187,67,111,68,130,0.0
2420,170,187,67,110,69,129,0.0
2449,169,188,67,111,69,129,0.0
2479,169,188,67,111,69,129,0.0
2507,169,188,66,111,67,129,0.0
2537,170,189,67,112,68,129,0.0
2510,163,170,63,124,73,121,0.0
2540,163,171,65,123,72,122,0.0
2569,163,188,65,123,73,123,0.0
2598,162,150,65,123,73,124,0.0
2627,163,203,65,124,72,122,0.0
2656,163,139,66,123,73,122,0.0
2685,163,206,64,123,73,123,0.0
2714,163,138,65,123,73,122,0.0
2744,163,199,65,124,73,122,0.0
2772,163,158,64,124,73,123,0.0
2802,163,187,65,125,73,124,0.0
2831,163,170,67,124,72,124,0.0
2861,163,163,65,124,74,123,0.0
2889,163,196,66,123,74,122,0.0
2918,163,148,67,124,73,123,0.0
2948,163,204,66,123,73,123,0.0
2976,164,128,65,125,74,122,0.0
3006,163,193,65,125,73,124,0.0
3035,164,132,64,125,73,124,0.0
1759,164,193,68,113,53,126,0.0
1787,164,193,69,113,53,125,0.0
1817,165,194,69,114,54,126,0.0
1846,164,195,68,114,53,125,0.0
1875,164,195,69,115,53,125,0.0
1904,165,196,69,115,54,125,0.0
1934,163,196,68,116,54,124,0.0
1963,164,196,68,115,53,127,0.0
1991,164,197,68,117,54,126,0.0
2021,165,196,69,116,54,125,0.0
2050,164,196,68,117,54,126,0.0
2079,164,197,69,115,55,125,0.0
2108,164,198,69,118,55,125,0.0
2138,164,198,68,116,54,124,0.0
2166,165,199,69,118,54,126,0.0
2196,164,199,67,118,54,126,0.0
1958,157,195,63,103,61,120,0.0
1987,157,195,62,103,60,121,0.0
2017,157,195,61,104,61,120,0.0
2045,157,196,62,104,60,122,0.0
2075,157,196,62,105,60,122,0.0
2104,157,196,62,106,61,122,0.0
2134,157,195,62,106,60,123,0.0
2162,158,196,63,105,61,121,0.0
2191,157,196,63,105,61,121,0.0
2221,157,197,64,104,62,121,0.0
2249,157,197,63,106,62,120,0.0
2279,157,197,62,106,62,121,0.0
2308,158,196,62,105,61,121,0.0
2337,157,197,61,106,62,122,0.0
2366,158,198,62,106,61,122,0.0
2396,157,197,63,105,61,122,0.0
2424,158,197,63,105,63,122,0.0
2453,158,196,63,105,62,120,0.0
2483,157,197,62,105,63,121,0.0
2511,157,198,63,106,62,119,0.0
2404,168,198,67,109,63,118,0.0
2433,168,199,68,108,64,119,0.0
2462,168,200,67,109,62,118,0.0
2491,168,199,67,110,63,119,0.0
2520,168,199,66,109,61,119,0.0
2549,168,200,67,110,63,120,0.0
2578,168,201,67,110,63,120,0.0
2608,168,201,67,110,62,120,0.0
2636,169,199,68,109,63,119,0.0
2666,169,200,68,109,63,119,0.0
2695,168,201,67,109,64,119,0.0
2723,168,201,66,109,64,119,0.0
2753,168,201,68,111,64,120,0.0
2782,167,202,67,111,64,119,0.0
2811,168,201,67,111,63,120,0.0
2840,167,201,68,110,63,121,0.0
2185,159,181,67,120,67,135,0.0
2214,159,181,67,120,68,134,0.0
2243,158,181,68,122,67,133,0.0
2273,158,182,68,121,68,135,0.0
2301,159,182,68,122,67,135,0.0
2331,158,182,67,121,67,135,0.0
2360,159,182,66,123,67,135,0.0
2388,159,182,67,122,67,136,0.0
2418,159,182,67,122,68,136,0.0
2447,159,182,68,122,67,136,0.0
2477,159,183,68,122,68,135,0.0
2505,159,183,67,122,68,136,0.0
2535,158,184,67,123,68,137,0.0
2564,159,184,67,123,68,137,0.0
2593,159,183,69,123,68,137,0.0
2622,159,184,68,123,68,138,0.0
2651,159,184,68,123,67,139,0.0
2680,160,184,69,123,69,137,0.0
2709,157,184,69,122,69,137,0.0
2739,159,184,67,123,69,135,0.0
2767,159,184,69,124,70,136,0.0
2797,158,185,68,124,68,136,0.0
2826,158,185,69,124,69,138,0.0
2854,158,185,68,125,70,136,0.0
2884,159,184,69,125,67,138,0.0
2913,158,185,70,123,70,138,0.0
2942,159,185,69,124,70,136,0.0
2971,159,185,69,123,71,136,0.0
3001,159,185,69,123,69,137,0.0
3030,158,186,68,124,69,135,0.0
3059,159,186,69,125,69,138,0.0
3088,158,186,69,125,68,137,0.0
3117,159,187,68,124,68,140,0.0
3146,160,186,69,125,69,137,0.0
3175,159,186,70,125,69,137,0.0
2453,163,185,67,114,67,129,0.0
2483,163,185,67,113,69,129,0.0
2511,163,186,68,113,70,128,0.0
2541,163,186,67,113,69,129,0.0
2570,164,186,67,113,70,127,0.0
2599,163,186,67,115,69,128,0.0
2628,163,186,66,114,70,129,0.0
2657,164,186,69,114,68,128,0.0
2686,164,186,68,114,69,130,0.0
2715,164,186,68,114,70,129,0.0
2745,163,186,68,113,70,128,0.0
2774,163,186,68,113,70,129,0.0
2803,164,186,67,115,70,129,0.0
2188,163,189,71,113,72,137,0.0
2217,163,190,70,114,71,140,0.0
2246,163,190,70,114,72,140,0.0
2276,164,191,71,114,70,139,0.0
2305,163,191,72,114,72,139,0.0
2334,164,190,70,114,72,139,0.0
2363,163,191,71,114,74,137,0.0
2393,163,191,71,115,71,139,0.0
2421,164,191,70,115,72,138,0.0
2450,163,191,71,115,72,139,0.0
2480,163,191,72,114,72,139,0.0
2508,163,191,72,115,71,139,0.0
2538,163,191,73,114,73,138,0.0
2567,164,192,72,115,73,137,0.0
2596,163,192,72,115,73,137,0.0
2625,163,192,71,115,72,138,0.0
2654,163,192,72,117,72,139,0.0
2683,164,192,72,115,73,139,0.0
2156,157,217,79,102,64,111,0.0
2185,158,217,79,102,65,112,0.0
2214,157,218,79,102,64,112,0.0
2243,157,218,78,102,65,113,0.0
2273,157,218,80,102,65,111,0.0
2301,157,218,80,102,67,112,0.0
2331,157,218,79,102,66,111,0.0
2360,157,218,80,103,66,112,0.0
2388,157,218,80,104,66,112,0.0
2418,157,218,80,103,65,111,0.0
2447,158,218,82,102,66,111,0.0
2477,157,218,81,101,66,112,0.0
2969,166,186,69,113,66,120,0.0
2999,165,186,68,114,64,121,0.0
3027,166,186,69,114,65,121,0.0
3056,166,186,69,114,63,121,0.0
3086,166,185,70,112,64,121,0.0
3115,167,187,70,113,65,120,0.0
3144,166,187,69,113,65,119,0.0
3173,166,186,68,115,65,121,0.0
3203,166,187,68,115,64,121,0.0
3231,167,186,68,114,65,120,0.0
3261,168,187,69,114,64,121,0.0
3290,167,187,68,114,65,120,0.0
3318,166,187,68,114,64,119,0.0
3348,166,188,68,115,65,120,0.0
3377,167,187,68,117,64,121,0.0
3406,166,187,70,116,64,121,0.0
3435,166,187,71,114,65,122,0.0
3465,165,188,70,114,65,120,0.0
3493,165,188,69,116,66,121,0.0
3522,166,187,69,116,65,120,0.0
3552,166,188,68,116,66,119,0.0
3580,166,189,68,116,65,119,0.0
3610,167,188,70,116,66,121,0.0
3639,166,188,70,116,66,120,0.0
3668,166,188,70,115,66,120,0.0
3697,166,189,70,117,64,119,0.0
3727,166,189,68,116,65,119,0.0
3756,166,189,68,117,65,119,0.0
3784,166,189,70,116,65,120,0.0
3814,167,189,71,115,66,118,0.0
3843,166,188,69,116,66,119,0.0
3872,166,189,70,116,65,119,0.0
3901,166,189,70,117,65,120,0.0
3931,167,189,70,118,65,120,0.0
3959,167,189,70,116,66,119,0.0
2693,161,189,68,126,70,128,0.0
2721,162,188,69,126,71,128,0.0
2751,162,188,69,127,69,129,0.0
2780,162,188,70,125,70,129,0.0
2809,162,188,70,126,71,126,0.0
2838,162,188,70,128,71,127,0.0
2868,161,188,69,127,71,128,0.0
2896,162,189,68,127,70,128,0.0
2926,161,189,69,127,70,130,0.0
2955,163,188,69,126,71,128,0.0
2983,163,188,70,126,73,128,0.0
3013,162,189,71,127,70,128,0.0
