Time in ms,flex1,flex2,flex3,flex4,flex5,flex6,Labels
10,156,219,169,224,153,123,0.0
20,156,220,168,224,153,121,0.0
36,156,220,168,224,152,123,0.0
66,156,220,168,225,152,123,0.0
95,156,220,169,224,152,125,0.0
123,156,219,168,224,152,124,0.0
154,157,220,169,225,152,124,0.0
184,156,219,168,224,152,123,0.0
215,155,220,169,223,153,123,0.0
244,155,220,169,224,153,123,0.0
275,156,219,170,223,153,124,0.0
305,156,220,169,224,152,125,0.0
335,156,221,168,224,151,125,0.0
365,156,221,169,224,148,129,0.0
396,158,221,170,224,144,143,0.0
425,160,224,170,223,141,162,0.0
455,160,226,170,223,137,181,0.0
486,162,227,171,223,136,190,0.0
516,162,229,173,224,136,197,0.0
546,161,231,173,224,138,199,0.0
576,161,232,175,224,139,201,0.0
607,160,232,176,226,140,202,0.0
636,159,232,176,226,143,205,0.0
667,157,232,178,227,145,205,0.0
697,157,233,178,228,148,208,0.0
727,157,234,178,228,151,210,0.0
757,155,235,179,227,152,212,0.0
787,154,235,178,227,148,212,0.0
818,155,235,177,223,139,212,0.0
847,156,235,172,217,126,210,0.0
878,156,235,170,210,121,207,0.0
908,156,235,165,204,114,201,0.0
939,157,233,160,198,107,196,0.0
968,159,230,152,190,98,186,0.0
998,160,228,146,183,91,168,0.0
1027,160,226,137,179,84,149,0.0
1056,160,220,128,172,79,131,0.0
1087,159,212,119,166,72,120,0.0
1117,158,204,109,161,67,114,0.0
1147,157,198,104,156,62,112,0.0
1177,156,195,99,152,60,111,0.0
1207,156,199,92,149,55,112,0.0
1235,158,200,89,145,54,111,0.0
1265,159,194,85,143,52,113,0.0
1294,163,189,82,139,50,114,0.0
1323,165,185,80,136,51,114,0.0
1352,167,179,76,133,51,114,0.0
1381,168,177,74,130,51,116,0.0
1411,169,176,71,130,50,118,0.0
1439,169,178,69,130,50,119,0.0
1469,169,179,68,128,50,120,0.0
1498,170,179,68,129,48,121,0.0
1527,170,179,68,127,50,119,0.0
1556,171,178,69,128,48,120,0.0
1585,171,178,67,127,49,121,0.0
1614,170,179,67,125,49,119,0.0
1643,171,180,67,125,49,118,0.0
1673,170,181,67,127,50,117,0.0
1701,170,181,67,127,49,118,0.0
1731,171,182,66,126,48,118,0.0
1760,171,182,65,127,48,119,0.0
1788,171,182,65,126,48,119,0.0
1818,171,181,66,126,49,118,0.0
1847,171,182,68,127,49,119,0.0
1876,171,183,66,126,50,118,0.0
1905,171,183,66,126,49,118,0.0
1935,171,183,65,127,49,119,0.0
1964,170,184,66,128,49,118,0.0
1993,171,183,65,126,49,119,0.0
2022,171,184,66,128,48,121,0.0
2051,171,184,66,127,49,121,0.0
2080,172,184,68,128,49,119,0.0
2109,171,185,67,127,50,120,0.0
2139,171,185,67,127,50,120,0.0
2167,171,186,67,127,50,120,0.0
2197,171,186,67,128,50,119,0.0
2226,171,185,68,128,49,119,0.0
2254,170,186,66,129,49,120,0.0
2284,171,186,67,128,49,121,0.0
2313,171,186,68,128,50,120,0.0
2342,171,186,69,128,50,122,0.0
2371,171,185,69,127,51,121,0.0
2401,171,186,69,128,51,119,0.0
2429,170,187,67,129,50,120,0.0
2459,172,187,68,128,51,122,0.0
2488,171,187,66,130,51,121,0.0
2516,171,188,67,130,51,122,0.0
2546,171,187,67,130,51,122,0.0
2575,170,187,68,128,51,122,0.0
10,144,208,161,217,141,125,0.0
