,precision,recall,f1-score,support
Adduction_Grip,0.8260869565217391,0.8042328042328042,0.8150134048257373,189.0
Fixed_hook,0.9263803680981595,0.867816091954023,0.8961424332344213,174.0
Large_diameter,0.8403755868544601,0.9226804123711341,0.8796068796068796,194.0
Parallel_extension,0.8695652173913043,0.8205128205128205,0.8443271767810027,195.0
Precision_sphere,0.7307692307692307,0.9212121212121213,0.8150134048257373,165.0
Sphere_4_finger,0.8811188811188811,0.7455621301775148,0.8076923076923077,169.0
Ventral,0.9119170984455959,0.8844221105527639,0.8979591836734694,199.0
Writing_Tripod,0.8833333333333333,0.8688524590163934,0.8760330578512396,183.0
accuracy,0.8549046321525886,0.8549046321525886,0.8549046321525886,0.8549046321525886
macro avg,0.858693334066588,0.8544113687536969,0.8539734810613493,1468.0
weighted avg,0.86003148273123,0.8549046321525886,0.8550674318425939,1468.0
